Gene	LogFC	FDR	Region
Neurod6	Neurod6	0.104967674	0.901861287	NAc
Neurog2	Neurog2	NA	NA	NAc
Nfib	Nfib	-0.279400555	0.032975624	NAc
Nhlh1	Nhlh1	NA	NA	NAc
Nr3c2	Nr3c2	0.269368611	0.00496511	NAc
Nr4a3	Nr4a3	-0.435893576	0.059050781	NAc
Osr1	Osr1	NA	NA	NAc
Rfx2	Rfx2	0.117580262	0.765072853	NAc
Rfx3	Rfx3	-0.205895328	0.132820812	NAc
Tcf15	Tcf15	NA	NA	NAc
Tcf4	Tcf4	0.038631692	0.823759472	NAc
Trps1	Trps1	0.201196845	0.092261035	NAc
Zbtb18	Zbtb18	0.083142546	0.628988804	NAc
Zbtb20	Zbtb20	-0.183674498	0.106769957	NAc
Zeb2	Zeb2	0.06800545	0.636303295	NAc
Zfp189	Zfp189	-0.405804914	0.000515125	NAc
Zfpm2	Zfpm2	-0.106641924	0.735706092	NAc
Emx2	Emx2	-0.485812843	0.015445276	NAc
Runx1	Runx1	0.990655128	0.000116101	NAc
Etv4	Etv4	0.686593293	2.25e-05	NAc
Maff	Maff	1.242735445	0.004468307	NAc
Pax6	Pax6	0.588657647	0.008465909	NAc
Tbr1	Tbr1	0.651984809	0.000483315	NAc
Ybx2	Ybx2	0.650094839	0.004701458	NAc
Creb3l2	Creb3l2	0.129935871	0.458871425	NAc
Creb5	Creb5	0.076989048	0.804465651	NAc
Irx1	Irx1	0.43288002	0.436774764	NAc
Lef1	Lef1	-0.178804129	0.490268602	NAc
Litaf	Litaf	0.177818703	0.103395658	NAc
Myrf	Myrf	0.201837794	0.016050973	NAc
Nkx2-2	Nkx2-2	0.064320436	0.860039662	NAc
Nkx6-2	Nkx6-2	0.168343502	0.266765064	NAc
Nr2f1	Nr2f1	0.422549646	6.56e-07	NAc
Rora	Rora	0.175234104	0.188114267	NAc
Sox10	Sox10	0.175644044	0.05489239	NAc
Tcf7l2	Tcf7l2	0.04958619	0.886245381	NAc
Zbtb16	Zbtb16	-0.528585113	0.006306549	NAc
Npas1	Npas1	-0.687805424	0.00058034	NAc
Bhlhe23	Bhlhe23	-0.113897199	0.927853988	NAc
Six4	Six4	0.718696061	0.131372592	NAc
Mkx	Mkx	-0.059163931	0.92367753	NAc
Nkx3-1	Nkx3-1	NA	NA	NAc
Ebf1	Ebf1	-0.751765329	8.73e-05	NAc
Irf6	Irf6	-1.030613099	7.68e-07	NAc
Thrb	Thrb	-0.666437829	1.46e-06	NAc
Rarb	Rarb	-0.750258901	1.49e-09	NAc
Zfp503	Zfp503	-0.001999577	1	NAc
AC099444.1	AC099444.1	0.045851399	0.904800894	NAc
Arid3b	Arid3b	0.007399207	0.998582889	NAc
Casz1	Casz1	-0.033398342	0.96291129	NAc
Cux1	Cux1	0.126386006	0.226121841	NAc
Cux2	Cux2	0.565259404	6.62e-05	NAc
Esrrg	Esrrg	-0.037260348	0.868062165	NAc
Gtf2ird1	Gtf2ird1	-0.041081509	0.927482617	NAc
Heyl	Heyl	-0.28244954	0.083002958	NAc
Hivep1	Hivep1	-0.077770006	0.66716418	NAc
Hivep3	Hivep3	0.206801485	0.010601575	NAc
Hlf	Hlf	-0.159040199	0.104631377	NAc
Hmga1	Hmga1	0.083662613	0.750074047	NAc
L3mbtl1	L3mbtl1	0.349784031	0.019979412	NAc
Mef2c	Mef2c	-0.003456961	0.99889194	NAc
Mitf	Mitf	0.141599071	0.350716128	NAc
Neurod4	Neurod4	0.360139132	0.580702827	NAc
Npas2	Npas2	-0.522845861	1.73e-08	NAc
Nr1d1	Nr1d1	0.291516044	0.000636593	NAc
Nr6a1	Nr6a1	0.16543259	0.618267841	NAc
Pbx3	Pbx3	-0.174552889	0.193710548	NAc
Pou2f2	Pou2f2	0.33361077	0.063633732	NAc
Pou3f2	Pou3f2	0.296296706	0.025310976	NAc
Satb1	Satb1	0.135432589	0.337459419	NAc
Stat5b	Stat5b	0.084523048	0.521242929	NAc
Tox2	Tox2	0.228269876	0.193710548	NAc
Tshz3	Tshz3	0.106778283	0.53083226	NAc
Zfhx3	Zfhx3	-0.120927704	0.335829416	NAc
Zfp385a	Zfp385a	0.213222991	0.121215658	NAc
Zfp575	Zfp575	0.11118452	0.588778329	NAc
Zic3	Zic3	-0.119590051	0.782926513	NAc
Zim1	Zim1	0.161502858	0.425614933	NAc
Bcl11b	Bcl11b	-0.679058448	0.000109271	NAc
Egr3	Egr3	-1.057839278	1.25e-13	NAc
Foxp1	Foxp1	-0.682748985	9.55e-08	NAc
Npas4	Npas4	-0.972521473	0.000128512	NAc
Nr4a1	Nr4a1	-0.737509793	9.76e-21	NAc
Prdm16	Prdm16	-0.592269505	0.009088671	NAc
Smad3	Smad3	-0.687412894	0.000372594	NAc
Etv5	Etv5	-0.615648068	7.63e-11	NAc
Foxo1	Foxo1	-0.707104397	5.15e-13	NAc
Lhx6	Lhx6	-0.887637262	1.29e-12	NAc
Lhx8	Lhx8	-0.744647664	3.63e-09	NAc
Nkx2-1	Nkx2-1	-0.80161607	5.54e-06	NAc
Nr4a2	Nr4a2	-1.249325332	0.000289835	NAc
Satb2	Satb2	-1.492599854	8.33e-05	NAc
Tp73	Tp73	-1.069545459	0.004876557	NAc
Egr1	Egr1	-0.189833131	0.131069554	NAc
Foxg1	Foxg1	-0.30732118	0.00422985	NAc
Foxp2	Foxp2	-0.35428196	0.001488945	NAc
Junb	Junb	-0.479449123	2.21e-06	NAc
Klf16	Klf16	-0.533381553	8.3e-09	NAc
Meox2	Meox2	-1.080813963	0.016003868	NAc
Myb	Myb	-1.718334908	0.055475908	NAc
Pou3f4	Pou3f4	-0.209622841	0.29168794	NAc
Rreb1	Rreb1	-0.141408534	0.52196419	NAc
Sp8	Sp8	NA	NA	NAc
Trerf1	Trerf1	-0.182370729	0.084756225	NAc
Dach11	Dach1	-0.717388314	0.007841726	DG
Fosb1	Fosb	-0.654939322	0.002384743	DG
Meis21	Meis2	-1.03965092	4.84e-05	DG
Meis11	Meis1	-0.937559824	0.000221634	DG
Gli11	Gli1	-2.498037168	1.01e-15	DG
Klf51	Klf5	-1.765299228	7.73e-12	DG
Tox1	Tox	-1.42955998	1.12e-10	DG
Tshz21	Tshz2	-1.950879021	0.000121101	DG
Egr21	Egr2	-0.780017115	0.015169288	DG
Egr41	Egr4	-0.397718558	0.077344874	DG
Rxrg1	Rxrg	-1.095443513	0.299033755	DG
Fos1	Fos	-0.98666154	0.010857521	DG
Fosl21	Fosl2	0.325511765	0.489165893	DG
Foxc11	Foxc1	0.104497787	0.896456417	DG
Dbp1	Dbp	-0.547918296	9.96e-05	DG
Hes51	Hes5	0.088477561	0.79435293	DG
Id11	Id1	-0.035145172	0.94002298	DG
Id41	Id4	-0.083056816	0.692830034	DG
Klf41	Klf4	-0.167791223	0.743335831	DG
Nfkb21	Nfkb2	-0.06316136	0.907092413	DG
Nr2f21	Nr2f2	0.427935142	0.646961229	DG
Ovol21	Ovol2	NA	NA	DG
Plagl11	Plagl1	-0.452816394	0.695992672	DG
Sox111	Sox11	-0.589055996	0.025391555	DG
Sox181	Sox18	-0.496281703	0.073361403	DG
Neurod11	Neurod1	1.442879719	1.25e-09	DG
Prdm81	Prdm8	2.372260169	9.97e-17	DG
Prox11	Prox1	1.6852894	6.55e-14	DG
Lhx91	Lhx9	2.392490738	2.45e-09	DG
Grhl11	Grhl1	1.112577146	9.96e-07	DG
Nhlh21	Nhlh2	1.824089015	0.000451245	DG
Shox21	Shox2	3.397559134	3.08e-16	DG
St181	St18	1.273383848	2.72e-11	DG
Ar1	Ar	0.702242224	0.001381766	DG
Bhlhe221	Bhlhe22	2.683413175	1.29e-29	DG
Camta21	Camta2	0.708279351	3.17e-15	DG
Cebpa1	Cebpa	0.730182182	5.34e-06	DG
Cebpb1	Cebpb	1.460991786	6.68e-14	DG
Cebpd1	Cebpd	0.881427748	1.06e-06	DG
Cpeb11	Cpeb1	0.785865046	6.14e-10	DG
Creb3l11	Creb3l1	0.608600669	0.00215788	DG
Emx11	Emx1	1.224820726	1.87e-10	DG
Foxo61	Foxo6	1.206025101	0.000232706	DG
Glis31	Glis3	0.850328226	4.14e-07	DG
Hes11	Hes1	0.916842904	6.38e-05	DG
Ikzf31	Ikzf3	2.271725382	9.99e-07	DG
Lhx21	Lhx2	0.725423895	1.23e-12	DG
Msx11	Msx1	0.948128547	0.000383881	DG
Mycl1	Mycl	0.978617995	1.77e-10	DG
Neurod61	Neurod6	3.207827899	2.73e-08	DG
Neurog21	Neurog2	1.732669167	0.00953565	DG
Nfib1	Nfib	0.999225389	4.04e-16	DG
Nhlh11	Nhlh1	3.106482426	3.78e-12	DG
Nr3c21	Nr3c2	1.351015494	6.94e-22	DG
Nr4a31	Nr4a3	1.425140691	6.24e-06	DG
Osr11	Osr1	2.103763141	0.001702118	DG
Rfx21	Rfx2	0.833014936	0.000129726	DG
Rfx31	Rfx3	0.947920346	2.56e-13	DG
Tcf151	Tcf15	1.216091197	0.000963749	DG
Tcf41	Tcf4	0.591785095	2.26e-07	DG
Trps11	Trps1	0.621354375	3.35e-05	DG
Zbtb181	Zbtb18	1.136912861	7.9e-20	DG
Zbtb201	Zbtb20	1.021202094	6.61e-23	DG
Zeb21	Zeb2	0.898245216	3.87e-14	DG
Zfp1891	Zfp189	1.417064148	1.47e-37	DG
Zfpm21	Zfpm2	0.737642622	0.000771778	DG
Emx21	Emx2	0.836341251	1.27e-09	DG
Runx11	Runx1	-0.040046842	0.96369432	DG
Etv41	Etv4	-0.162692546	0.636992367	DG
Maff1	Maff	NA	NA	DG
Pax61	Pax6	0.209923613	0.360805463	DG
Tbr11	Tbr1	-0.507597125	0.086084247	DG
Ybx21	Ybx2	0.508284191	0.043768399	DG
Creb3l21	Creb3l2	-0.192600218	0.247373125	DG
Creb51	Creb5	-0.179723258	0.65499111	DG
Irx11	Irx1	NA	NA	DG
Lef11	Lef1	0.543745868	0.0408997	DG
Litaf1	Litaf	0.072229378	0.726414016	DG
Myrf1	Myrf	-0.059474681	0.861745542	DG
Nkx2-21	Nkx2-2	-0.21748865	0.461979511	DG
Nkx6-21	Nkx6-2	-0.235740561	0.497013852	DG
Nr2f11	Nr2f1	0.284301406	0.096076076	DG
Rora1	Rora	-0.331656738	0.019282386	DG
Sox101	Sox10	-0.197964808	0.248754304	DG
Tcf7l21	Tcf7l2	0.378476191	0.025387359	DG
Zbtb161	Zbtb16	0.473421443	0.000912934	DG
Npas11	Npas1	0.539604662	0.000466908	DG
Bhlhe231	Bhlhe23	3.069022327	1.95e-08	DG
Six41	Six4	0.565301632	0.098421519	DG
Mkx1	Mkx	-0.19515742	0.760870066	DG
Nkx3-11	Nkx3-1	0.767627936	0.07641531	DG
Ebf11	Ebf1	-0.798419128	0.000310959	DG
Irf61	Irf6	-1.878645743	8.28e-09	DG
Thrb1	Thrb	-0.684890107	2.62e-09	DG
Rarb1	Rarb	-0.754437484	8.09e-05	DG
Zfp5031	Zfp503	-0.910390611	7.91e-05	DG
AC099444.11	AC099444.1	-0.859260561	1.5e-05	DG
Arid3b1	Arid3b	-0.649055796	0.004519379	DG
Casz11	Casz1	-2.79044538	1.19e-17	DG
Cux11	Cux1	-0.962479691	7.19e-08	DG
Cux21	Cux2	-0.864995618	2.45e-13	DG
Esrrg1	Esrrg	-0.583213185	4.79e-05	DG
Gtf2ird11	Gtf2ird1	-0.728102084	0.006368561	DG
Heyl1	Heyl	-0.749205443	1.05e-06	DG
Hivep11	Hivep1	-0.897673166	0.000139172	DG
Hivep31	Hivep3	-0.639855392	1.32e-07	DG
Hlf1	Hlf	-1.105526092	7.66e-12	DG
Hmga11	Hmga1	-0.836587482	5.9e-09	DG
L3mbtl11	L3mbtl1	-0.780982621	0.000419664	DG
Mef2c1	Mef2c	-1.096519592	2.42e-05	DG
Mitf1	Mitf	-0.801070188	4.4e-07	DG
Neurod41	Neurod4	-1.963128991	2.36e-05	DG
Npas21	Npas2	-0.983964161	2.05e-06	DG
Nr1d11	Nr1d1	-0.706068296	1.09e-09	DG
Nr6a11	Nr6a1	-0.829490302	0.007921377	DG
Pbx31	Pbx3	-1.295478304	1.61e-06	DG
Pou2f21	Pou2f2	-0.775526178	0.000174408	DG
Pou3f21	Pou3f2	-1.176672711	2.22e-06	DG
Satb11	Satb1	-0.680652972	1.4e-08	DG
Stat5b1	Stat5b	-0.720700921	2.86e-10	DG
Tox21	Tox2	-1.050332862	1.34e-13	DG
Tshz31	Tshz3	-1.632334029	3.22e-08	DG
Zfhx31	Zfhx3	-0.65906467	1.42e-07	DG
Zfp385a1	Zfp385a	-0.756006473	9.74e-12	DG
Zfp5751	Zfp575	-0.825134448	0.001924628	DG
Zic31	Zic3	-1.203619301	1.07e-07	DG
Zim11	Zim1	-0.94315265	4.33e-05	DG
Bcl11b1	Bcl11b	0.574080278	0.000358099	DG
Egr31	Egr3	0.211923302	0.129001851	DG
Foxp11	Foxp1	-0.567577764	0.000400565	DG
Npas41	Npas4	-0.572329447	0.422972149	DG
Nr4a11	Nr4a1	-0.354739011	0.233409065	DG
Prdm161	Prdm16	-0.147605604	0.465294941	DG
Smad31	Smad3	0.448081835	0.013274892	DG
Etv51	Etv5	-0.106295836	0.505396721	DG
Foxo11	Foxo1	0.23442124	0.057750307	DG
Lhx61	Lhx6	-0.37775418	0.126995604	DG
Lhx81	Lhx8	NA	NA	DG
Nkx2-11	Nkx2-1	NA	NA	DG
Nr4a21	Nr4a2	-0.072989171	0.950544476	DG
Satb21	Satb2	-0.430969581	0.48041081	DG
Tp731	Tp73	1.096717496	0.058509431	DG
Egr11	Egr1	-0.52946746	0.018881136	DG
Foxg11	Foxg1	0.154565917	0.273822875	DG
Foxp21	Foxp2	-1.627043233	0.010402764	DG
Junb1	Junb	-0.32316263	0.132909898	DG
Klf161	Klf16	0.075988907	0.729460431	DG
Meox21	Meox2	1.171904335	0.012243469	DG
Myb1	Myb	0.836725139	0.144413865	DG
Pou3f41	Pou3f4	-0.269347714	0.455110542	DG
Rreb11	Rreb1	0.280206926	0.330815256	DG
Sp81	Sp8	-0.766474754	0.189566486	DG
Trerf11	Trerf1	-0.41564391	0.031245483	DG
Dach12	Dach1	1.052722009	0.008966073	CA
Fosb2	Fosb	0.651289293	0.000106588	CA
Meis22	Meis2	0.611271226	0.000644113	CA
Meis12	Meis1	0.831141377	0.001962416	CA
Gli12	Gli1	0.9496088	0.000122746	CA
Klf52	Klf5	0.798282475	2.12e-08	CA
Tox3	Tox	0.640636617	9.5e-06	CA
Tshz22	Tshz2	0.844736107	3.51e-08	CA
Egr22	Egr2	1.753652368	9.01e-22	CA
Egr42	Egr4	0.707223763	3.49e-12	CA
Rxrg2	Rxrg	0.790472922	1.28e-06	CA
Fos2	Fos	0.898898369	4.25e-05	CA
Fosl22	Fosl2	0.595358656	0.000820463	CA
Foxc12	Foxc1	0.756661472	0.000201095	CA
Dbp2	Dbp	0.869408739	4.05e-22	CA
Hes52	Hes5	0.797842565	3.87e-08	CA
Id12	Id1	0.60890836	0.000104502	CA
Id42	Id4	0.615986766	1.23e-09	CA
Klf42	Klf4	0.962306483	1.47e-07	CA
Nfkb22	Nfkb2	0.641231015	0.002945751	CA
Nr2f22	Nr2f2	0.857649128	1.21e-06	CA
Ovol22	Ovol2	1.162006536	0.003425454	CA
Plagl12	Plagl1	0.822911927	8.72e-05	CA
Sox112	Sox11	0.683616617	1.01e-10	CA
Sox182	Sox18	0.694566614	0.000377909	CA
Neurod12	Neurod1	-0.521687934	5.78e-07	CA
Prdm82	Prdm8	-0.268198913	0.008912978	CA
Prox12	Prox1	-0.541457667	1.23e-09	CA
Lhx92	Lhx9	-0.790956076	0.011387126	CA
Grhl12	Grhl1	0.145192642	0.553745468	CA
Nhlh22	Nhlh2	-0.07008763	0.927229425	CA
Shox22	Shox2	NA	NA	CA
St182	St18	-0.179967995	0.354290052	CA
Ar2	Ar	0.039852961	0.86472111	CA
Bhlhe222	Bhlhe22	-0.178745077	0.300372445	CA
Camta22	Camta2	-0.05808504	0.503156861	CA
Cebpa2	Cebpa	0.08165254	0.67663024	CA
Cebpb2	Cebpb	-0.316725132	0.096272006	CA
Cebpd2	Cebpd	-0.265370752	0.174843065	CA
Cpeb12	Cpeb1	-0.297899679	0.000443166	CA
Creb3l12	Creb3l1	-0.398957349	0.023864451	CA
Emx12	Emx1	-0.508739234	6.54e-06	CA
Foxo62	Foxo6	0.294400039	0.019176044	CA
Glis32	Glis3	-0.183981508	0.359572609	CA
Hes12	Hes1	-0.020926032	0.946016061	CA
Ikzf32	Ikzf3	-0.783325556	0.037076146	CA
Lhx22	Lhx2	0.154936376	0.092461658	CA
Msx12	Msx1	-0.699494822	0.012537906	CA
Mycl2	Mycl	-0.067248729	0.624709067	CA
Neurod62	Neurod6	-0.322579419	9.46e-07	CA
Neurog22	Neurog2	0.625307019	0.086577237	CA
Nfib2	Nfib	-0.157065137	0.087307138	CA
Nhlh12	Nhlh1	-0.496623162	0.546365414	CA
Nr3c22	Nr3c2	-0.156507237	0.157365322	CA
Nr4a32	Nr4a3	0.393449959	0.000142343	CA
Osr12	Osr1	-0.535025282	0.032527973	CA
Rfx22	Rfx2	0.069480964	0.850474231	CA
Rfx32	Rfx3	-0.11594449	0.34158432	CA
Tcf152	Tcf15	-0.043770723	0.951414287	CA
Tcf42	Tcf4	0.011414492	0.94867442	CA
Trps12	Trps1	0.003722057	0.996349987	CA
Zbtb182	Zbtb18	-0.235815206	0.000376091	CA
Zbtb202	Zbtb20	-0.163541283	0.180490163	CA
Zeb22	Zeb2	-0.302873677	7.69e-05	CA
Zfp1892	Zfp189	-0.302189103	0.000233308	CA
Zfpm22	Zfpm2	-0.125818028	0.630705149	CA
Emx22	Emx2	-0.244097137	0.147298508	CA
Runx12	Runx1	-0.037730495	0.972611441	CA
Etv42	Etv4	0.507258603	0.007103569	CA
Maff2	Maff	NA	NA	CA
Pax62	Pax6	0.306026868	0.131919954	CA
Tbr12	Tbr1	-0.18136273	0.36332002	CA
Ybx22	Ybx2	0.038436425	0.951414287	CA
Creb3l22	Creb3l2	0.10724783	0.592145349	CA
Creb52	Creb5	0.256150135	0.190285077	CA
Irx12	Irx1	NA	NA	CA
Lef12	Lef1	-0.03171227	0.950618659	CA
Litaf2	Litaf	-0.018291563	0.95070755	CA
Myrf2	Myrf	-0.105111547	0.442002158	CA
Nkx2-22	Nkx2-2	0.13842501	0.644079293	CA
Nkx6-22	Nkx6-2	-0.027051031	0.944080615	CA
Nr2f12	Nr2f1	0.282911414	0.005185646	CA
Rora2	Rora	-0.270486244	0.020042913	CA
Sox102	Sox10	-0.03690574	0.832549443	CA
Tcf7l22	Tcf7l2	-0.135278128	0.558113345	CA
Zbtb162	Zbtb16	0.247322342	0.094032532	CA
Npas12	Npas1	0.225300379	0.166616057	CA
Bhlhe232	Bhlhe23	-1.103058743	0.009085174	CA
Six42	Six4	-0.924285988	0.000603496	CA
Mkx2	Mkx	-0.908106924	0.001186799	CA
Nkx3-12	Nkx3-1	-0.998428987	0.00151935	CA
Ebf12	Ebf1	0.886193413	0.081291935	CA
Irf62	Irf6	0.336569756	0.33205925	CA
Thrb2	Thrb	0.377519227	0.00075751	CA
Rarb2	Rarb	0.28980969	0.208008765	CA
Zfp5032	Zfp503	0.405764477	0.006800283	CA
AC099444.12	AC099444.1	0.022193137	0.966686256	CA
Arid3b2	Arid3b	-0.115989521	0.67663024	CA
Casz12	Casz1	NA	NA	CA
Cux12	Cux1	0.055829065	0.854642974	CA
Cux22	Cux2	-0.011435862	0.979675197	CA
Esrrg2	Esrrg	-0.179339837	0.156825253	CA
Gtf2ird12	Gtf2ird1	0.304091499	0.410728374	CA
Heyl2	Heyl	0.557612985	1.21e-09	CA
Hivep12	Hivep1	0.295504491	0.000575007	CA
Hivep32	Hivep3	0.213810603	0.013253758	CA
Hlf2	Hlf	0.014527863	0.953538366	CA
Hmga12	Hmga1	-0.029198053	0.925612981	CA
L3mbtl12	L3mbtl1	0.323008322	0.140144517	CA
Mef2c2	Mef2c	0.042754772	0.648311685	CA
Mitf2	Mitf	-0.004781491	1	CA
Neurod42	Neurod4	NA	NA	CA
Npas22	Npas2	0.436523276	3.7e-06	CA
Nr1d12	Nr1d1	0.386691162	1.51e-05	CA
Nr6a12	Nr6a1	0.355437487	0.398094212	CA
Pbx32	Pbx3	0.440561437	0.007737366	CA
Pou2f22	Pou2f2	0.384777339	0.032060493	CA
Pou3f22	Pou3f2	0.248975806	0.153495801	CA
Satb12	Satb1	0.039979674	0.770394063	CA
Stat5b2	Stat5b	0.292893073	0.010628731	CA
Tox22	Tox2	0.579158055	0.000100445	CA
Tshz32	Tshz3	0.187285134	0.252739884	CA
Zfhx32	Zfhx3	0.710366189	0.078510064	CA
Zfp385a2	Zfp385a	0.093557061	0.445345149	CA
Zfp5752	Zfp575	0.043564082	0.875140731	CA
Zic32	Zic3	0.041348592	0.984273727	CA
Zim12	Zim1	0.696338992	0.058036082	CA
Bcl11b2	Bcl11b	0.07069895	0.725660492	CA
Egr32	Egr3	-0.33073759	0.000136435	CA
Foxp12	Foxp1	0.140029628	0.220400446	CA
Npas42	Npas4	0.443211304	0.513139354	CA
Nr4a12	Nr4a1	0.383927492	0.011481171	CA
Prdm162	Prdm16	-0.098599964	0.607902094	CA
Smad32	Smad3	-0.374729144	0.002480774	CA
Etv52	Etv5	0.297517243	0.000141747	CA
Foxo12	Foxo1	0.021715409	0.903464759	CA
Lhx62	Lhx6	0.129028193	0.669283897	CA
Lhx82	Lhx8	NA	NA	CA
Nkx2-12	Nkx2-1	NA	NA	CA
Nr4a22	Nr4a2	0.321056317	0.111365534	CA
Satb22	Satb2	-0.287284409	0.20220464	CA
Tp732	Tp73	NA	NA	CA
Egr12	Egr1	0.477041406	8.01e-06	CA
Foxg12	Foxg1	0.238640351	0.038754216	CA
Foxp22	Foxp2	0.173223958	0.789828264	CA
Junb2	Junb	0.577358173	6.61e-08	CA
Klf162	Klf16	0.049954969	0.769025109	CA
Meox22	Meox2	NA	NA	CA
Myb2	Myb	NA	NA	CA
Pou3f42	Pou3f4	-0.159318147	0.714480495	CA
Rreb12	Rreb1	-0.35400998	0.001406891	CA
Sp82	Sp8	NA	NA	CA
Trerf12	Trerf1	0.147880942	0.162828987	CA
Dach13	Dach1	-0.949728093	0.000955964	SVZ
Fosb3	Fosb	-0.871854935	0.00016308	SVZ
Meis23	Meis2	-0.654845356	8.95e-08	SVZ
Meis13	Meis1	0.076745412	0.669064838	SVZ
Gli13	Gli1	0.082712096	0.7962233	SVZ
Klf53	Klf5	-0.472963273	0.034175177	SVZ
Tox4	Tox	0.200367044	0.597506296	SVZ
Tshz23	Tshz2	0.288870243	0.41970833	SVZ
Egr23	Egr2	-1.966399334	5.83e-11	SVZ
Egr43	Egr4	-1.153689078	0.000233154	SVZ
Rxrg3	Rxrg	-1.081220431	1.47e-05	SVZ
Fos3	Fos	-1.231100082	3e-07	SVZ
Fosl23	Fosl2	-0.495545689	0.046873066	SVZ
Foxc13	Foxc1	-0.513483616	0.174483631	SVZ
Dbp3	Dbp	-0.156671624	0.334838238	SVZ
Hes53	Hes5	-0.191508138	0.299179368	SVZ
Id13	Id1	-0.166631799	0.410061182	SVZ
Id43	Id4	-0.222372796	0.04351771	SVZ
Klf43	Klf4	-0.477001691	0.113405981	SVZ
Nfkb23	Nfkb2	0.214525101	0.496541007	SVZ
Nr2f23	Nr2f2	1.553384815	2.7e-08	SVZ
Ovol23	Ovol2	NA	NA	SVZ
Plagl13	Plagl1	0.834447761	0.000290186	SVZ
Sox113	Sox11	-0.21378439	0.580856088	SVZ
Sox183	Sox18	-0.088722245	0.837863931	SVZ
Neurod13	Neurod1	NA	NA	SVZ
Prdm83	Prdm8	-0.696087865	0.56582238	SVZ
Prox13	Prox1	1.192889103	2.99e-38	SVZ
Lhx93	Lhx9	1.494115741	4.15e-06	SVZ
Grhl13	Grhl1	0.809704031	0.000369719	SVZ
Nhlh23	Nhlh2	1.071381748	0.000525112	SVZ
Shox23	Shox2	2.880005069	0.003715651	SVZ
St183	St18	0.650867062	2.18e-06	SVZ
Ar3	Ar	0.243693532	0.525969569	SVZ
Bhlhe223	Bhlhe22	0.0794539	0.926204029	SVZ
Camta23	Camta2	-0.165955536	0.188650064	SVZ
Cebpa3	Cebpa	-0.297572552	0.121429202	SVZ
Cebpb3	Cebpb	-0.332480981	0.191763089	SVZ
Cebpd3	Cebpd	0.150440079	0.532123505	SVZ
Cpeb13	Cpeb1	0.543986082	0.000244027	SVZ
Creb3l13	Creb3l1	0.370521333	0.264749454	SVZ
Emx13	Emx1	NA	NA	SVZ
Foxo63	Foxo6	0.060635887	0.885329928	SVZ
Glis33	Glis3	0.329706606	0.126532503	SVZ
Hes13	Hes1	0.154814106	0.618785014	SVZ
Ikzf33	Ikzf3	NA	NA	SVZ
Lhx23	Lhx2	-0.539382606	0.006520335	SVZ
Msx13	Msx1	-0.394807247	0.482150862	SVZ
Mycl3	Mycl	-0.104185068	0.550335992	SVZ
Neurod63	Neurod6	NA	NA	SVZ
Neurog23	Neurog2	NA	NA	SVZ
